,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
172,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 18:52:26,Closed Complete,,
173,9e7005e2db8f50107ea8264cd39619b5,e959f6ed97e9c990d903bfafe153af8e,2022-02-17 00:39:57,Closed Complete,,
174,9e7005e2db8f50107ea8264cd39619b5,e959f6ed97e9c990d903bfafe153af8e,2022-02-17 00:39:57,Closed Complete,,
175,5d27f19587ff709094f140490cbb3528,e959f6ed97e9c990d903bfafe153af8e,2022-02-19 06:00:39,Closed Complete,,
176,5d27f19587ff709094f140490cbb3528,e959f6ed97e9c990d903bfafe153af8e,2022-02-19 06:00:39,Closed Complete,,
177,8e4d445287b730d094f140490cbb35b4,e959f6ed97e9c990d903bfafe153af8e,2022-02-19 06:00:40,Closed Complete,,
178,8e4d445287b730d094f140490cbb35b4,e959f6ed97e9c990d903bfafe153af8e,2022-02-19 06:00:40,Closed Complete,,
179,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-21 06:00:16,Closed Complete,,
180,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-21 06:00:16,Closed Complete,,
181,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-21 23:42:32,Closed Complete,,
182,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-21 23:42:32,Closed Complete,,
183,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-24 06:00:01,Closed Complete,,
184,c04428de87fb30d094f140490cbb3516,e959f6ed97e9c990d903bfafe153af8e,2022-02-25 06:00:37,Closed Complete,,
185,16ef04da87b730d094f140490cbb350d,e959f6ed97e9c990d903bfafe153af8e,2022-02-25 06:00:39,Closed Complete,,
186,9e7005e2db8f50107ea8264cd39619b5,e959f6ed97e9c990d903bfafe153af8e,2022-02-27 06:00:14,Closed Complete,,
187,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-03-04 06:00:07,Closed Complete,,
188,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-03-08 04:51:20,Closed Complete,,
189,3385105e87f730d094f140490cbb35cd,e959f6ed97e9c990d903bfafe153af8e,2022-03-14 17:12:40,Closed Complete,,
190,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-03-18 06:00:03,Closed Complete,,
191,3385105e87f730d094f140490cbb35cd,e959f6ed97e9c990d903bfafe153af8e,2022-03-25 06:00:13,Closed Complete,,
192,Closed Complete,e959f6ed97e9c990d903bfafe153af8e,2022-03-25 06:00:14,Closed Complete,-1.0,0.0
193,9e7005e2db8f50107ea8264cd39619b5,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:30,Closed Complete,,
194,5d27f19587ff709094f140490cbb3528,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:30,Closed Complete,,
195,00e9e12587604d9494f140490cbb357f,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:30,Closed Complete,,
196,aa347d1d87bf709094f140490cbb35a2,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:31,Closed Complete,,
197,3385105e87f730d094f140490cbb35cd,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:31,Closed Complete,,
198,7ba4ec3e1be7749456f2ece5604bcb07,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:31,Closed Complete,,
199,16ef04da87b730d094f140490cbb350d,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:31,Closed Complete,,
200,40abdc16877b30d094f140490cbb351d,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:31,Closed Complete,,
201,a0294496877730d094f140490cbb3507,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:32,Closed Complete,,
202,da0a989e873b30d094f140490cbb3593,8be9032d97250d90d903bfafe153af73,2022-02-08 16:50:32,Closed Complete,,
203,8e4d445287b730d094f140490cbb35b4,8be9032d97250d90d903bfafe153af73,2022-02-08 16:52:08,Closed Complete,,
204,a0294496877730d094f140490cbb3507,8be9032d97250d90d903bfafe153af73,2022-02-09 01:51:35,Closed Complete,,
205,a0294496877730d094f140490cbb3507,8be9032d97250d90d903bfafe153af73,2022-02-09 01:51:35,Closed Complete,,
206,16ef04da87b730d094f140490cbb350d,8be9032d97250d90d903bfafe153af73,2022-02-09 08:32:29,Closed Complete,,
207,3385105e87f730d094f140490cbb35cd,8be9032d97250d90d903bfafe153af73,2022-02-09 08:52:45,Closed Complete,,
208,7ba4ec3e1be7749456f2ece5604bcb07,8be9032d97250d90d903bfafe153af73,2022-02-09 09:46:12,Closed Complete,,
209,00e9e12587604d9494f140490cbb357f,8be9032d97250d90d903bfafe153af73,2022-02-09 09:46:24,Closed Complete,,
210,5d27f19587ff709094f140490cbb3528,8be9032d97250d90d903bfafe153af73,2022-02-09 09:46:43,Closed Complete,,
211,9e7005e2db8f50107ea8264cd39619b5,8be9032d97250d90d903bfafe153af73,2022-02-09 11:04:33,Closed Complete,,
